"spalte";"wert";"anzahl";"prozent"
"Ft";"petrol";"6075402";"56,0793"
"Ft";"electric";"2055863";"18,9767"
"Ft";"diesel";"1279640";"11,8118"
"Ft";"petrol/electric";"1009882";"9,3218"
"Ft";"lpg";"352268";"3,2516"
"Ft";"diesel/electric";"47590";"0,4393"
"Ft";"e85";"12384";"0,1143"
"Ft";"hydrogen";"451";"0,0042"
"Ft";"ng";"108";"0,001"
"Ft";"unknown";"9";"0,0001"
