"spalte";"wert";"anzahl";"prozent"
"Mk";"TOGG";"148";"0,0014"
"Mk";"DONG FENG";"147";"0,0014"
"Mk";"AUTOMOBILI LAMBORGHINI S.P.A.";"144";"0,0013"
"Mk";"ALFA  ROMEO";"144";"0,0013"
"Mk";"CHERY- OMODA";"143";"0,0013"
"Mk";"MAN";"141";"0,0013"
"Mk";"CATERHAM";"134";"0,0012"
"Mk";"M G";"133";"0,0012"
"Mk";"EXLANTIX";"133";"0,0012"
"Mk";"MORGAN";"126";"0,0012"
"Mk";"LYNK CO";"126";"0,0012"
"Mk";"AIWAYS";"125";"0,0012"
"Mk";"MG, ROEWE";"122";"0,0011"
"Mk";"AION";"108";"0,001"
"Mk";"HONGQI";"102";"0,0009"
"Mk";"AUDI SPORT";"83";"0,0008"
"Mk";"FORD/BENIMAR";"74";"0,0007"
"Mk";"FISKER";"72";"0,0007"
"Mk";"YUDO";"70";"0,0006"
"Mk";"AUTOMOBILI LAMBORGHINI SPA";"65";"0,0006"
"Mk";"GREAT WALL MOTOR COMPANY LIMITED";"62";"0,0006"
"Mk";"FIAT/CAPRON";"61";"0,0006"
"Mk";"MOKE";"60";"0,0006"
"Mk";"ROLLS ROYCE";"59";"0,0005"
"Mk";"FIAT/KNAUS";"56";"0,0005"
"Mk";"FORD/GERMAZ";"54";"0,0005"
"Mk";"FIAT/ADRIA";"54";"0,0005"
"Mk";"CHANGAN";"54";"0,0005"
"Mk";"SHINERAY";"53";"0,0005"
"Mk";"FORD/FC AUTO SYSTEM";"50";"0,0005"
"Mk";"LINK&CO";"48";"0,0004"
"Mk";"GREAT WALL MOTOR COMPANY";"44";"0,0004"
"Mk";"CHRYSLER";"44";"0,0004"
"Mk";"SECMA";"42";"0,0004"
"Mk";"MAN/V-VAN";"42";"0,0004"
"Mk";"FORD/SUN-LIVING";"40";"0,0004"
"Mk";"SSANGYONG, KG MOBILITY";"39";"0,0004"
"Mk";"KTM";"37";"0,0003"
"Mk";"SSANGJONG";"36";"0,0003"
"Mk";"PEUGEOT/ TOURNE MOBIL";"32";"0,0003"
"Mk";"FORD TRANSIT/ITS SYSTEM";"32";"0,0003"
"Mk";"QSTOMIZE";"30";"0,0003"
"Mk";"XIAOMI";"30";"0,0003"
"Mk";"DACIA-ROMTURINGIA";"30";"0,0003"
"Mk";"GMC";"30";"0,0003"
"Mk";"MAN/RODRIGUEZ";"29";"0,0003"
"Mk";"FIAT/BENIMAR";"29";"0,0003"
"Mk";"CHERY- EXEED- FOWNIX-";"28";"0,0003"
"Mk";"FIAT/HOBBY";"27";"0,0002"
"Mk";"SSANGYONG/KGM";"26";"0,0002"
"Mk";"BMW AG";"26";"0,0002"
"Mk";"LADA";"25";"0,0002"
"Mk";"VAZ";"24";"0,0002"
"Mk";"CATERHAM CARS LTD";"24";"0,0002"
"Mk";"VOLKSWAGEN/KNAUS";"23";"0,0002"
"Mk";"DACIA - ROMTURINGIA";"23";"0,0002"
"Mk";"INEOS AUTOMOTIVE GMBH";"22";"0,0002"
"Mk";"DALLARA";"22";"0,0002"
"Mk";"RUF";"21";"0,0002"
"Mk";"KG MOBILLITY";"21";"0,0002"
"Mk";"FORD (D)";"19";"0,0002"
"Mk";"MARUTI SUZUKI";"19";"0,0002"
"Mk";"BRABUS";"19";"0,0002"
"Mk";"DFM";"19";"0,0002"
"Mk";"VOLKSWAGEN/V-VAN";"18";"0,0002"
"Mk";"FIAT/DETHLEFFS";"18";"0,0002"
"Mk";"DFSK, SERES, SOKON, FENGON";"18";"0,0002"
"Mk";"RENAULT/GRUAU";"17";"0,0002"
"Mk";"FIAT/CARTHAGO";"17";"0,0002"
"Mk";"FORD/ROLLER TEAM";"16";"0,0001"
"Mk";"EXEED- CHERY EXEED";"16";"0,0001"
"Mk";"MC LAREN";"15";"0,0001"
"Mk";"MERCEDES-BENZ/HYMER";"15";"0,0001"
"Mk";"VOLKSWAGEN,VW";"15";"0,0001"
"Mk";"CHERY, JAECOO";"15";"0,0001"
"Mk";"DFSK, SERES, SOKON";"15";"0,0001"
"Mk";"JOYEAR";"15";"0,0001"
"Mk";"FIAT/MCLOUIS";"14";"0,0001"
"Mk";"FIREFLY";"14";"0,0001"
"Mk";"FIAT/ WEINSBERG";"14";"0,0001"
"Mk";"CITROEN/HOBBY";"14";"0,0001"
"Mk";"DONKERVOORT";"14";"0,0001"
"Mk";"VOLVO/NILSSON";"13";"0,0001"
"Mk";"MERCEDES-BENZ/KABE";"13";"0,0001"
"Mk";"GREAT WALL MOTOR CO. LTD";"13";"0,0001"
"Mk";"PEUGEOT/BRAVIA";"12";"0,0001"
"Mk";"FIAT/POESSL";"12";"0,0001"
"Mk";"GENESIS";"11";"0,0001"
"Mk";"ZEEKR-GEELY";"11";"0,0001"
"Mk";"FIAT/ELNAGH";"11";"0,0001"
"Mk";"ARIEL MOTOR COMPANY";"11";"0,0001"
"Mk";"CITROEN/CAPRON";"11";"0,0001"
"Mk";"PAGANI S.P.A.";"10";"0,0001"
"Mk";"RENAULT/AHORN";"10";"0,0001"
"Mk";"KOENIGSEGG";"10";"0,0001"
"Mk";"CITROEN/POESSL";"10";"0,0001"
"Mk";"FORD/CHAUSSON";"10";"0,0001"
"Mk";"GAC";"9";"0,0001"
"Mk";"FIAT/CHAUSSON";"9";"0,0001"
"Mk";"MG-";"9";"0,0001"
"Mk";"MERCEDES BALTICBUS";"9";"0,0001"
"Mk";"CITROEN/ SUN LIVING";"9";"0,0001"
"Mk";"BMW M";"9";"0,0001"
"Mk";"FIAT/AUTOSTAR";"9";"0,0001"
"Mk";"FAW VW";"9";"0,0001"
"Mk";"FIAT/LMC";"8";"0,0001"
"Mk";"MERCEDES-BENZ/WEINSBERG";"8";"0,0001"
"Mk";"DFSK,SERES,SOKON,FENGON";"8";"0,0001"
"Mk";"FIAT/LAIKA";"8";"0,0001"
"Mk";"ILES AUTOMOTIVE";"7";"0,0001"
"Mk";"MERCEDES-BENZ/ADRIA";"7";"0,0001"
"Mk";"SRM- SWM-SHINERAY- KM";"7";"0,0001"
"Mk";"GAC- AION";"7";"0,0001"
"Mk";"AUTOMOBILI LAMBORGHINI S.";"7";"0,0001"
"Mk";"FIAT/ ETRUSCO";"7";"0,0001"
"Mk";"FIAT/BURSTNER";"7";"0,0001"
"Mk";"SEAT SA";"6";"0,0001"
"Mk";"MERCUS";"6";"0,0001"
"Mk";"MERCEDES/V-VAN";"6";"0,0001"
"Mk";"VOLKWAGEN/WEINSBERG";"6";"0,0001"
"Mk";"VOLKSWAGEN/MOBILCAR";"6";"0,0001"
"Mk";"VOLKSWAGEN/ERIBA";"6";"0,0001"
"Mk";"LOTUS- LOTUS NYO";"6";"0,0001"
"Mk";"FIAT/RANDGER";"6";"0,0001"
"Mk";"FIAT/HYMER";"6";"0,0001"
"Mk";"AUTOMOBILI LAMBORGHIN";"6";"0,0001"
"Mk";"L-NIVA";"6";"0,0001"
"Mk";"ISUZU";"6";"0,0001"
"Mk";"FORD/CAPRON";"6";"0,0001"
"Mk";"GAC AION";"5";"0"
"Mk";"GARIA";"5";"0"
"Mk";"FORD/ETRUSCO";"5";"0"
"Mk";"FORD/ITS SYSTEM";"5";"0"
"Mk";"MERCEDES-BEZN";"5";"0"
"Mk";"SSANGYONG- KG MOBILITY";"5";"0"
"Mk";"TOYOTA/STEELER";"5";"0"
