"spalte";"wert";"anzahl";"prozent"
"Ct";"M1";"10797713";"99,6688"
"Ct";"M1G";"35193";"0,3249"
"Ct";"N1";"503";"0,0046"
"Ct";"(leer)";"184";"0,0017"
"Ct";"N2";"3";"0"
"Ct";"M2";"1";"0"
